course_code,section,weekday,start_time,end_time,building,room
TECH 115,1,Mon,15:00,16:45,ENG,103
TECH 147,11,Mon,7:30,10:15,ENG,103
TECH 165,1,Tue,10:30,11:20,ENG,103
TECH 165,1,Thu,10:30,11:20,ENG,103
TECH 165,11,Tue,13:30,16:15,ENG,103
TECH 171,1,Tue,7:30,8:45,ENG,103
TECH 171,1,Thu,7:30,8:45,ENG,103
TECH 171,2,Tue,9:00,10:15,ENG,103
TECH 171,2,Thu,9:00,10:15,ENG,103
TECH 179,2,Mon,12:00,13:15,ENG,103
TECH 179,2,Wed,12:00,13:15,ENG,103
TECH 190B,2,Wed,13:30,16:15,ENG,103
TECH 25,1,Wed,9:00,10:45,ENG,103
MATE 153,3,Tue,13:30,16:15,ENG,105
MATE 153,4,Wed,18:00,20:45,ENG,105
MATE 153,5,Wed,10:30,13:15,ENG,105
MATE 153,6,Fri,12:00,14:45,ENG,105
MATE 153,7,Fri,9:00,11:45,ENG,105
MATE 154,2,Thu,10:30,13:15,ENG,105
TECH 25,12,Thu,13:30,16:15,ENG,105
TECH 25,13,Thu,16:30,19:15,ENG,105
CHE 194,4,Tue,18:30,21:15,ENG,109
ME 115,1,Tue,13:30,16:15,ENG,113
ME 115,2,Tue,16:30,19:15,ENG,113
ME 115,3,Wed,16:30,19:15,ENG,113
ME 115,4,Thu,13:30,16:15,ENG,113
ME 115,5,Thu,16:30,19:15,ENG,113
EE 106,11,Tue,13:30,16:15,ENG,125
EE 106,12,Thu,13:30,16:15,ENG,125
EE 106,21,Tue,9:00,11:45,ENG,125
EE 106,22,Thu,9:00,11:45,ENG,125
EE 106,31,Mon,9:00,11:45,ENG,125
EE 106,32,Wed,9:00,11:45,ENG,125
EE 106,41,Mon,13:30,16:15,ENG,125
EE 106,42,Wed,13:30,16:15,ENG,125
ME 106,11,Tue,13:30,16:15,ENG,125
ME 106,12,Thu,13:30,16:15,ENG,125
ME 106,21,Tue,9:00,11:45,ENG,125
ME 106,22,Thu,9:00,11:45,ENG,125
ME 106,31,Mon,9:00,11:45,ENG,125
ME 106,32,Wed,9:00,11:45,ENG,125
ME 106,41,Mon,13:30,16:15,ENG,125
ME 106,42,Wed,13:30,16:15,ENG,125
CE 132,1,Tue,13:30,16:15,ENG,131
CE 163,1,Wed,13:30,16:15,ENG,131
CE 181,1,Mon,9:00,10:15,ENG,131
CE 181,1,Wed,9:00,10:15,ENG,131
CE 181,4,Mon,10:30,11:45,ENG,131
CE 181,4,Wed,10:30,11:45,ENG,131
CE 185,1,Fri,18:00,20:45,ENG,131
CE 8,2,Tue,9:00,11:45,ENG,132
CE 8,3,Thu,9:00,11:45,ENG,132
CE 8,4,Thu,13:30,16:15,ENG,132
CE 8,5,Tue,13:30,16:15,ENG,132
ME 120,2,Mon,9:00,11:45,ENG,133
ME 120,3,Mon,13:30,16:15,ENG,133
ME 120,4,Mon,16:30,19:15,ENG,133
ME 120,5,Tue,9:00,11:45,ENG,133
ME 120,6,Tue,13:30,16:15,ENG,133
ME 120,7,Thu,9:00,11:45,ENG,133
ME 120,10,Thu,13:30,16:15,ENG,133
CE 120,1,Mon,18:00,20:45,ENG,134
CE 120,2,Tue,18:00,20:45,ENG,134
CE 120,3,Wed,18:00,20:45,ENG,134
CE 162,2,Tue,13:30,16:15,ENG,134
CE 162,3,Thu,13:30,16:15,ENG,134
CE 162,4,Mon,13:30,16:15,ENG,134
CE 162,5,Wed,13:30,16:15,ENG,134
EE 106,1,Mon,9:00,10:15,ENG,135
EE 106,1,Wed,9:00,10:15,ENG,135
EE 106,2,Mon,10:30,11:45,ENG,135
EE 106,2,Wed,10:30,11:45,ENG,135
EE 106,3,Tue,19:30,20:45,ENG,135
EE 106,3,Thu,19:30,20:45,ENG,135
EE 106,4,Mon,12:00,13:15,ENG,135
EE 106,4,Wed,12:00,13:15,ENG,135
ME 106,1,Mon,9:00,10:15,ENG,135
ME 106,1,Wed,9:00,10:15,ENG,135
ME 106,2,Mon,10:30,11:45,ENG,135
ME 106,2,Wed,10:30,11:45,ENG,135
ME 106,3,Tue,19:30,20:45,ENG,135
ME 106,3,Thu,19:30,20:45,ENG,135
ME 106,4,Mon,12:00,13:15,ENG,135
ME 106,4,Wed,12:00,13:15,ENG,135
ME 154,2,Tue,10:30,12:10,ENG,135
ME 154,2,Thu,10:30,12:10,ENG,135
ME 190,11,Fri,13:30,16:15,ENG,135
ME 195B,3,Wed,13:30,16:15,ENG,135
ME 282,1,Tue,18:00,19:15,ENG,135
ME 282,1,Thu,18:00,19:15,ENG,135
CE 150,2,Mon,13:30,16:15,ENG,150
CE 150,3,Wed,13:30,16:15,ENG,150
CE 150,4,Thu,13:30,16:15,ENG,150
AE 166,3,Fri,11:30,13:30,ENG,164
AE 166,4,Fri,14:00,16:00,ENG,164
AE 180,1,Tue,18:00,18:50,ENG,164
AE 180,2,Tue,18:00,18:50,ENG,164
AE 180,2,Thu,18:00,18:50,ENG,164
AE 180,3,Tue,18:00,18:50,ENG,164
AE 180,3,Thu,18:00,18:50,ENG,164
AE 180,3,Fri,18:00,18:50,ENG,164
AE 167,1,Mon,13:30,14:45,ENG,189
AE 167,1,Wed,13:30,14:45,ENG,189
CE 8,1,Tue,8:00,8:50,ENG,189
CE 8,1,Thu,8:00,8:50,ENG,189
CHE 1,1,Mon,12:00,13:15,ENG,189
CHE 1,1,Wed,12:00,13:15,ENG,189
CMPE 126,1,Tue,10:30,11:20,ENG,189
CMPE 126,1,Thu,10:30,11:20,ENG,189
CMPE 195A,4,Fri,10:30,13:15,ENG,189
CMPE 195A,5,Fri,10:30,13:15,ENG,189
CMPE 195A,6,Fri,10:30,13:15,ENG,189
CMPE 195B,4,Fri,10:30,13:15,ENG,189
CMPE 195B,5,Fri,10:30,13:15,ENG,189
CMPE 195B,6,Fri,10:30,13:15,ENG,189
CMPE 30,1,Mon,10:30,11:20,ENG,189
CMPE 30,1,Wed,10:30,11:20,ENG,189
DATA 236,73,Tue,15:00,17:45,ENG,189
ISE 213,1,Tue,18:00,20:45,ENG,189
ME 111,1,Tue,12:00,13:15,ENG,189
ME 111,1,Thu,12:00,13:15,ENG,189
ME 113,1,Mon,16:30,18:10,ENG,189
ME 113,1,Wed,16:30,18:10,ENG,189
ME 120,1,Mon,8:00,8:50,ENG,189
ME 20,1,Mon,9:00,9:50,ENG,189
CMPE 295B,1,Fri,18:00,20:45,ENG,189
CMPE 295B,2,Fri,18:00,20:45,ENG,189
CMPE 295B,3,Fri,18:00,20:45,ENG,189
CMPE 295B,4,Fri,18:00,20:45,ENG,189
ISE 115,2,Thu,15:00,18:00,ENG,194
ISE 115,3,Thu,18:00,21:00,ENG,194
CHE 163L,2,Mon,15:00,17:45,ENG,205
CHE 163L,3,Tue,13:30,16:15,ENG,205
CMPE 126,2,Tue,14:30,17:20,ENG,206
CMPE 126,3,Thu,14:30,17:20,ENG,206
CE 140,2,Tue,13:30,16:15,ENG,209
CE 140,3,Thu,13:30,16:15,ENG,209
CE 140,4,Wed,13:30,16:15,ENG,209
CE 140,5,Mon,13:30,16:15,ENG,209
ME 20,2,Tue,9:00,11:45,ENG,213
ME 20,3,Tue,13:30,16:15,ENG,213
ME 20,4,Thu,9:00,11:45,ENG,213
ME 20,5,Thu,13:30,16:15,ENG,213
ME 20,6,Fri,13:30,16:15,ENG,213
ME 232,1,Tue,16:30,17:20,ENG,213
ME 232,1,Thu,16:30,17:20,ENG,213
ME 232,2,Fri,16:30,19:15,ENG,213
ME 30,2,Mon,10:30,13:15,ENG,213
ME 30,3,Mon,13:30,16:15,ENG,213
ME 30,4,Wed,9:00,11:45,ENG,213
ME 30,5,Wed,13:30,16:15,ENG,213
BIOL 177,2,Thu,12:00,14:45,ENG,221
BIOL 177,3,Wed,18:00,20:45,ENG,221
BME 115,2,Fri,9:00,11:45,ENG,221
BME 115,3,Tue,13:30,16:15,ENG,221
BME 116,2,Mon,12:00,14:45,ENG,221
BME 116,3,Tue,18:00,20:45,ENG,221
BME 116,4,Tue,9:00,11:45,ENG,221
BME 168,2,Wed,9:00,11:45,ENG,221
BME 168,3,Fri,15:00,17:45,ENG,221
BME 177,2,Thu,12:00,14:45,ENG,221
BME 177,3,Wed,18:00,20:45,ENG,221
BME 198B,2,Fri,9:30,12:15,ENG,221
MATE 141,2,Wed,16:30,19:15,ENG,223
MATE 146,2,Thu,13:30,16:15,ENG,223
MATE 146,3,Tue,18:00,20:45,ENG,223
AVIA 150,1,Mon,12:00,13:15,ENG,232
AVIA 150,1,Wed,12:00,13:15,ENG,232
CMPE 165,2,Mon,10:30,11:45,ENG,232
CMPE 165,2,Wed,10:30,11:45,ENG,232
CMPE 200,1,Mon,15:00,16:15,ENG,232
CMPE 200,1,Wed,15:00,16:15,ENG,232
CMPE 259,1,Tue,13:30,14:45,ENG,232
CMPE 259,1,Thu,13:30,14:45,ENG,232
CS 25,1,Tue,10:30,11:45,ENG,232
CS 25,1,Thu,10:30,11:45,ENG,232
EE 182,1,Tue,12:00,13:15,ENG,232
EE 182,1,Thu,12:00,13:15,ENG,232
EE 257,1,Tue,15:00,16:15,ENG,232
EE 257,1,Thu,15:00,16:15,ENG,232
EE 287,1,Tue,18:00,19:15,ENG,232
EE 287,1,Thu,18:00,19:15,ENG,232
EE 288,1,Mon,16:30,17:45,ENG,232
EE 288,1,Wed,16:30,17:45,ENG,232
ENGR 25,1,Tue,10:30,11:45,ENG,232
ENGR 25,1,Thu,10:30,11:45,ENG,232
ME 211,1,Tue,16:30,17:45,ENG,232
ME 211,1,Thu,16:30,17:45,ENG,232
TECH 65,1,Mon,9:00,9:50,ENG,232
TECH 65,1,Wed,9:00,9:50,ENG,232
TECH 65,2,Tue,9:00,9:50,ENG,232
TECH 65,2,Thu,9:00,9:50,ENG,232
EE 160,2,Mon,18:00,20:45,ENG,238
EE 160,3,Wed,18:00,20:45,ENG,238
EE 198A,1,Fri,10:00,12:45,ENG,238
EE 198B,1,Sat,9:00,18:00,ENG,238
AE 157,2,Tue,11:00,13:00,ENG,240
AE 157,3,Thu,11:00,13:00,ENG,240
AE 157,3,Tue,11:00,13:00,ENG,240
AE 157,5,Wed,16:30,18:30,ENG,240
AE 157,5,Tue,16:30,18:30,ENG,240
EE 198A,2,Fri,10:00,12:45,ENG,244
EE 198B,2,Sat,9:00,18:00,ENG,244
EE 97,1,Mon,13:30,16:15,ENG,249
EE 97,2,Tue,13:30,16:15,ENG,249
EE 97,3,Wed,13:30,16:15,ENG,249
EE 97,4,Thu,13:30,16:15,ENG,249
EE 97,5,Fri,9:30,12:15,ENG,249
EE 97,6,Fri,12:30,15:15,ENG,249
EE 97,7,Fri,15:30,18:15,ENG,249
EE 110L,1,Fri,9:30,12:15,ENG,258
EE 110L,3,Fri,12:30,15:15,ENG,258
EE 110L,5,Fri,15:30,18:15,ENG,258
EE 124,2,Tue,10:30,13:15,ENG,258
EE 124,3,Thu,10:30,13:15,ENG,258
EE 124,4,Mon,12:00,14:45,ENG,258
EE 124,5,Wed,12:00,14:45,ENG,258
CMPE 110,3,Wed,13:30,16:15,ENG,268
CMPE 110,5,Wed,18:00,20:45,ENG,268
CMPE 127,2,Thu,9:00,11:45,ENG,268
CMPE 127,3,Thu,13:30,16:15,ENG,268
CMPE 127,4,Mon,13:00,15:50,ENG,268
CMPE 124,2,Wed,15:00,17:45,ENG,278
CMPE 124,3,Mon,9:00,11:45,ENG,278
CMPE 124,4,Wed,9:00,11:45,ENG,278
CMPE 110,2,Mon,13:30,16:15,ENG,286
CMPE 125,2,Tue,9:00,11:45,ENG,288
CMPE 125,3,Tue,13:30,16:15,ENG,288
CMPE 125,5,Mon,18:00,20:45,ENG,288
CMPE 140,3,Mon,12:00,14:50,ENG,288
CMPE 140,5,Mon,9:00,11:45,ENG,288
CMPE 140,6,Wed,9:00,11:45,ENG,288
EE 198A,3,Fri,10:00,12:45,ENG,289
EE 198B,3,Sat,9:00,18:00,ENG,289
EE 110L,2,Fri,9:30,12:15,ENG,290
EE 110L,4,Fri,12:30,15:15,ENG,290
EE 122,3,Mon,15:00,17:45,ENG,290
EE 122,4,Wed,15:00,17:45,ENG,290
EE 122,5,Tue,10:30,13:15,ENG,290
EE 122,6,Thu,12:00,14:45,ENG,290
EE 122,7,Thu,15:00,17:45,ENG,290
EE 297A,1,Sat,9:00,18:00,ENG,291
AE 266,1,Mon,16:30,17:45,ENG,301
AE 266,1,Wed,16:30,17:45,ENG,301
CCS 30,3,Tue,10:30,11:45,ENG,301
CCS 30,3,Thu,10:30,11:45,ENG,301
CHE 172,1,Tue,18:00,20:45,ENG,301
CMPE 258,1,Tue,13:30,14:45,ENG,301
CMPE 258,1,Thu,13:30,14:45,ENG,301
CMPE 275,1,Mon,18:00,20:45,ENG,301
CMPE 286,1,Thu,18:00,20:45,ENG,301
EE 98,3,Mon,12:00,13:15,ENG,301
EE 98,3,Wed,12:00,13:15,ENG,301
ME 136,1,Mon,10:30,11:45,ENG,301
ME 136,1,Wed,10:30,11:45,ENG,301
CE 154,1,Tue,18:00,20:45,ENG,303
CMPE 272,1,Thu,18:00,20:45,ENG,303
EE 221,1,Mon,16:30,17:45,ENG,303
EE 221,1,Wed,16:30,17:45,ENG,303
ENGL 1B,11,Tue,9:00,10:15,ENG,303
ENGL 1B,11,Thu,9:00,10:15,ENG,303
ENGL 1B,15,Tue,10:30,11:45,ENG,303
ENGL 1B,15,Thu,10:30,11:45,ENG,303
ENGL 2,10,Mon,12:00,13:15,ENG,303
ENGL 2,10,Wed,12:00,13:15,ENG,303
ENGL 2,19,Tue,15:00,16:15,ENG,303
ENGL 2,19,Thu,15:00,16:15,ENG,303
ENGL 2,24,Tue,12:00,13:15,ENG,303
ENGL 2,24,Thu,12:00,13:15,ENG,303
ENGL 2,35,Mon,10:30,11:45,ENG,303
ENGL 2,35,Wed,10:30,11:45,ENG,303
ENGL 2,36,Mon,9:00,10:15,ENG,303
ENGL 2,36,Wed,9:00,10:15,ENG,303
ENGL 21,1,Tue,13:30,14:45,ENG,303
ENGL 21,1,Thu,13:30,14:45,ENG,303
AMS 10,8,Mon,15:00,16:15,ENG,303
EE 118,3,Mon,12:00,14:45,ENG,305
EE 118,4,Wed,12:00,14:45,ENG,305
EE 118,5,Tue,15:00,17:45,ENG,305
EE 118,6,Thu,15:00,17:45,ENG,305
EE 118,7,Mon,9:00,11:45,ENG,305
EE 120,3,Mon,10:30,13:15,ENG,307
EE 120,4,Wed,10:30,13:15,ENG,307
EE 120,5,Tue,12:00,14:45,ENG,307
EE 120,6,Thu,12:00,14:45,ENG,307
EE 120,7,Tue,9:00,11:45,ENG,307
EE 30,2,Mon,18:00,20:45,ENG,307
EE 30,3,Tue,18:00,20:45,ENG,307
CHE 1,2,Fri,9:00,11:45,ENG,317
CHE 1,3,Fri,12:00,14:45,ENG,317
CHE 1,4,Tue,9:00,11:45,ENG,317
CHE 1,5,Thu,9:00,11:45,ENG,317
CHE 1,6,Thu,12:00,14:45,ENG,317
CHE 1,7,Tue,12:00,14:45,ENG,317
EE 297A,2,Sat,9:00,18:00,ENG,317
EE 297B,1,Sat,9:00,18:00,ENG,319
CMPE 102,1,Mon,13:30,14:45,ENG,325
CMPE 102,1,Wed,13:30,14:45,ENG,325
CMPE 102,2,Mon,10:30,11:45,ENG,325
CMPE 102,2,Wed,10:30,11:45,ENG,325
CMPE 102,3,Tue,12:00,13:15,ENG,325
CMPE 102,3,Thu,12:00,13:15,ENG,325
CMPE 120,2,Mon,16:30,17:45,ENG,325
CMPE 120,2,Wed,16:30,17:45,ENG,325
CMPE 138,1,Tue,9:00,10:15,ENG,325
CMPE 138,1,Thu,9:00,10:15,ENG,325
CMPE 142,1,Mon,12:00,13:15,ENG,325
CMPE 142,1,Wed,12:00,13:15,ENG,325
CMPE 142,2,Mon,15:00,16:15,ENG,325
CMPE 142,2,Wed,15:00,16:15,ENG,325
CMPE 180B,1,Tue,16:30,17:45,ENG,325
CMPE 180B,1,Thu,16:30,17:45,ENG,325
CMPE 188,1,Tue,10:30,11:45,ENG,325
CMPE 188,1,Thu,10:30,11:45,ENG,325
CMPE 189,1,Mon,18:00,20:45,ENG,325
CMPE 257,3,Fri,9:30,12:15,ENG,325
CMPE 258,3,Fri,13:00,15:45,ENG,325
CMPE 294,4,Tue,13:30,14:45,ENG,325
CMPE 294,4,Thu,13:30,14:45,ENG,325
CE 246,1,Tue,18:00,20:45,ENG,327
CHIN 1A,1,Mon,10:30,12:10,ENG,327
CHIN 1A,1,Wed,10:30,12:10,ENG,327
ENGL 100WB,12,Mon,16:30,17:45,ENG,327
ENGL 100WB,12,Wed,16:30,17:45,ENG,327
ENGL 2,20,Tue,16:30,17:45,ENG,327
ENGL 2,20,Thu,16:30,17:45,ENG,327
ENGR 120,1,Thu,12:00,14:45,ENG,327
LING 164,1,Tue,10:30,11:45,ENG,327
LING 164,1,Thu,10:30,11:45,ENG,327
ME 195B,1,Wed,13:30,16:15,ENG,327
COMM 170F,1,Mon,9:00,10:15,ENG,327
BME 133,3,Fri,12:00,14:45,ENG,329
BME 133,4,Fri,15:00,17:45,ENG,329
BME 198B,1,Fri,8:30,9:20,ENG,329
BME 272,1,Tue,19:30,20:45,ENG,329
BME 272,1,Thu,19:30,20:45,ENG,329
CE 160,2,Tue,13:30,16:15,ENG,329
CE 170,2,Mon,13:30,16:15,ENG,329
CE 170,3,Wed,13:30,16:15,ENG,329
CHE 160A,1,Mon,10:30,11:45,ENG,329
CHE 160A,1,Wed,10:30,11:45,ENG,329
EE 102,2,Tue,9:00,10:15,ENG,329
EE 102,2,Thu,9:00,10:15,ENG,329
EE 118,1,Tue,7:30,8:45,ENG,329
EE 118,1,Thu,7:30,8:45,ENG,329
EE 98,2,Tue,10:30,11:45,ENG,329
EE 98,2,Thu,10:30,11:45,ENG,329
ENGR 295B,1,Thu,13:30,16:15,ENG,329
MATE 153,1,Mon,12:00,12:50,ENG,329
MATE 153,1,Wed,12:00,12:50,ENG,329
MATE 25,2,Mon,9:00,10:15,ENG,329
MATE 25,2,Wed,9:00,10:15,ENG,329
ME 130,1,Tue,12:00,13:15,ENG,329
ME 130,1,Thu,12:00,13:15,ENG,329
ME 154,3,Tue,16:30,18:10,ENG,329
ME 154,3,Thu,16:30,18:10,ENG,329
ME 260,1,Mon,18:00,19:15,ENG,329
ME 260,1,Wed,18:00,19:15,ENG,329
ME 273,1,Mon,19:30,20:45,ENG,329
ME 273,1,Wed,19:30,20:45,ENG,329
AVIA 50,2,Tue,7:30,8:45,ENG,331
AVIA 50,2,Thu,7:30,8:45,ENG,331
BME 165,1,Tue,15:00,16:15,ENG,331
BME 165,1,Thu,15:00,16:15,ENG,331
CE 170,1,Mon,9:00,9:50,ENG,331
CE 170,1,Wed,9:00,9:50,ENG,331
CE 95,3,Mon,12:00,13:15,ENG,331
CE 95,3,Wed,12:00,13:15,ENG,331
CMPE 131,1,Tue,18:00,20:45,ENG,331
CMPE 240,1,Mon,18:00,20:45,ENG,331
EE 118,2,Mon,10:30,11:45,ENG,331
EE 118,2,Wed,10:30,11:45,ENG,331
EE 273,1,Tue,16:30,17:45,ENG,331
EE 273,1,Thu,16:30,17:45,ENG,331
MATE 135,1,Tue,13:30,14:45,ENG,331
MATE 135,1,Thu,13:30,14:45,ENG,331
ME 114,3,Tue,12:00,13:15,ENG,331
ME 114,3,Thu,12:00,13:15,ENG,331
ME 135,1,Tue,13:30,14:45,ENG,331
ME 135,1,Thu,13:30,14:45,ENG,331
ME 147,1,Tue,10:30,11:45,ENG,331
ME 147,1,Thu,10:30,11:45,ENG,331
TECH 190B,3,Wed,13:30,16:15,ENG,331
TECH 45,1,Wed,16:30,19:15,ENG,331
